identificador,dia,hora,user,textoidentificador,dia,hora,user,texto
1496270074722025472,2022-02-22,20:45:59,frente_amplio,'Estamos ahí🔥  En breve empieza el #debateLUC La campaña de la gente en la voz de @Oandradelallana   #votasi 🗳  📡 También lo podes ver acá  https://t.co/94lEe2ZHmd  https://t.co/1hAIQlcUMH'
1496269931813429249,2022-02-22,20:45:25,ffleita,'@darwincanelones @Oandradelallana @VotaSiUy #VotaSi #DebatexTVCiudad'
1496272122326441994,2022-02-22,20:54:08,ximshhxt,'@BrendaSantes5 el señor frente de pista de portaaviones  https://t.co/OA5hFKHu0O'
1496269465482579968,2022-02-22,20:43:34,lia_pucciano,'@KimbaSiempre @darioelque @Frente_Amplio Cada vez que han tirado números salen mal heridos!'
1496269684043304960,2022-02-22,20:44:26,roberto36300088,'@VotaSiUy #burros'
1496270344084152320,2022-02-22,20:47:04,renovainfouy,'Todo pronto para el comienzo del debate en apenas unos minutos.   📷: @Frente_Amplio  https://t.co/JYajdUHSk3'
1496262199895105537,2022-02-22,20:14:42,zully_silva,'Así esperamos el Debate Óscar Andrade /Guido Manini Ríos  https://t.co/IYRJJI1XV9'
1496272111161286656,2022-02-22,20:54:05,gabrieu_el,'As vezes eu sinto que tenho dificuldade pra seguir em frente e deixar o passado pra trás, mas outras vezes eu tenho certeza de que é isso mesmo'
1496270340032540683,2022-02-22,20:47:03,antoniooglio,'@ErnestoHuevada @AlCanelones @Frente_Amplio @MPP609 @PCU_FA @cintendentesuy @IdCanelones @carlosvarela02 @JuntaCanelones @DeLegislativo @LuisPera40 @ines_monzillo @FLegnaniSilva @LuisLacallePou @ERafaelferrari @SenadoUy Todo dicho !!!!'
1496268014873980945,2022-02-22,20:37:48,juanchoriental,'@VotaSiUy NO MIENTAS...'
1496269200536612873,2022-02-22,20:42:31,nefridio,'@lolilalesca @Frente_Amplio #GraciasFA'
1496269094580289541,2022-02-22,20:42:06,lia_pucciano,'@RayDono47694041 @darioelque @Frente_Amplio Cambia el verso!! Ese ya no califica'
1496270074722025472,2022-02-22,20:45:59,frente_amplio,'Estamos ahí🔥  En breve empieza el #debateLUC La campaña de la gente en la voz de @Oandradelallana   #votasi 🗳  📡 También lo podes ver acá  https://t.co/94lEe2ZHmd  https://t.co/1hAIQlcUMH'
1496261266415013891,2022-02-22,20:10:59,venceremosfa,'Minutos antes del debate con Manini, el compañero Óscar Andrade nos deja un saludo.  Veníte a la Plaza de la Ex Terminal Goes o seguilo por nuestras redes 💪🏻 @Frente_Amplio @CoordC_FA @VotaSiUy  https://t.co/5SyokXT6u0'
1496272074960162817,2022-02-22,20:53:56,jade310522,'@Cervantez0110 @sararevi @YouTube No veo la hora de tenerlo en frente, ya a nivel personal me gaste lo que me gaste lo siento en una silla frente a un juez. Encima es tan paleto, pero tan ignorante que cree que soy imbecil como todo lo q lanza por esa boca cuando destruye el castellano hablando paletish 👈'
1496269465482579968,2022-02-22,20:43:34,lia_pucciano,'@KimbaSiempre @darioelque @Frente_Amplio Cada vez que han tirado números salen mal heridos!'
1496272057461612544,2022-02-22,20:53:52,lysoy4,'@jequiroga80 @Trompe__ A berni la policía le hizo bastante ruido. Es quien está al frente y el respaldo que da a las fuerzas, Bullrich tiene agallas y además el apoyo de gran parte de la sociedad. Y si esra vez viene con más dureza, mejor.'
1496260873056309254,2022-02-22,20:09:25,sandrax25444555,'📌 Hoy martes 20:55 elegí  TV Ciudad Debate Andrade/Manini Ríos.  Retransmitiremos el debate entre Oscar Andrade y Guido Manini Rios de cara al 27 de marzo.    &gt; #DebatexTVCiudad Retransmisión en vivo  🗣 Luego, 22 horas Análisis desde  TV Ciudad.'
1496268858382032902,2022-02-22,20:41:09,cabvuy,'@Paty78 @Frente_Amplio Nada cierto. Si dicen la verdad no agarran a nadie'
1496269200536612873,2022-02-22,20:42:31,nefridio,'@lolilalesca @Frente_Amplio #GraciasFA'
1496267503252738051,2022-02-22,20:35:46,tinchodr4,'@VotaSiUy Si hay que mentir para que los voten por algo será…'
1496272045134516233,2022-02-22,20:53:49,mauro_norge,'@maxxxz70 a mis 12 años estaba veraneando en Gesell, como siempre, y me acerqué a una casa que en el frente tenía un subi baja y había un Mono jugando ahí. Cuando lo quise tocar me atacó y lo golpee, me mordió. Llego a mi casa y me vieja me pregunta qué te pasó?! Me mordió un mono!'
1496269094580289541,2022-02-22,20:42:06,lia_pucciano,'@RayDono47694041 @darioelque @Frente_Amplio Cambia el verso!! Ese ya no califica'
1496266331972567042,2022-02-22,20:31:07,sergiocasales,'@VotaSiUy @AlfTuitea No mientas más,  mononeuronal'
1496260597603835904,2022-02-22,20:08:20,walterhaguilarp,'NO SE OLVIDEN A LAS 21H OSCAR ANDRADE SACA A PASEAR AL  🐕  https://t.co/Cc1zw4Ipts'
1496271989136257028,2022-02-22,20:53:36,_maxbarraza,'@originalSb @ClubNecaxa Por el respeto a la historia y el abolengo y la rivalidad en grupos de animación capitalinos, debe ser Atlante. Pero no podemos negar que al necaxista promedio, le saben más los duelos frente a América. Mi pique PERSONAL es con Santos, por temas familiares.'
1496268858382032902,2022-02-22,20:41:09,cabvuy,'@Paty78 @Frente_Amplio Nada cierto. Si dicen la verdad no agarran a nadie'
1496268718103760899,2022-02-22,20:40:36,melofederico,'@ValentiEsteban Los que posan para la Foto y el @Frente_Amplio fueron son y serán grandes títeres del @PITCNT1 no se olviden que solo representan una minoría, LA LUC SE QUEDA.'
1496265448362545154,2022-02-22,20:27:36,donaldd20173924,'@VotaSiUy Traducilo por favor, así tratas de convencer a alguien porque con ese trabalenguas que te hiciste el 27 votas que No'
1496268718103760899,2022-02-22,20:40:36,melofederico,'@ValentiEsteban Los que posan para la Foto y el @Frente_Amplio fueron son y serán grandes títeres del @PITCNT1 no se olviden que solo representan una minoría, LA LUC SE QUEDA.'
1496265211107549193,2022-02-22,20:26:40,caballerodep,'@camdombero @VotaSiUy Asi llegaron a ser gobierno manipulando los hechos y la verdad.  Llegaron a el poder con mentiras y falacias. Van a hacer lo que sea por volver a prenderse de la teta estatal.  Ya estan desestabilizando desde el dia uno, ¿Les sorprende que mientan?'
1496271983927046147,2022-02-22,20:53:35,enricoves,'@RonaldB74512761 @IvoAndroK @AXELKAISER Mire lo que ha pasado en países donde se han legalizado las armas. Necesitamos una policía eficiente y no politizada a la altura de los países desarrollados, no hay que tener dos dedos de frente para oponerse a una barbaridad, no estamos en el oeste.'
1496268604303626241,2022-02-22,20:40:09,paty78,'@cabvuy @Frente_Amplio Una de las cosas que me hace mucho ruido. * Se juntaron 800mil firmas y así y todo la desinformación que hay respecto a los 135 art. es supina. Como se explica eso? Que les dijeron para que firmarán?'
1496268604303626241,2022-02-22,20:40:09,paty78,'@cabvuy @Frente_Amplio Una de las cosas que me hace mucho ruido. * Se juntaron 800mil firmas y así y todo la desinformación que hay respecto a los 135 art. es supina. Como se explica eso? Que les dijeron para que firmarán?'
1496264935223042049,2022-02-22,20:25:34,juanchoriental,'@PabloSilvaGon @ValentiEsteban @Frente_Amplio @votanoderogar @YoNoDerogo @UyNOderoga @VotaSiUy @UYVotaNO No no tengan ninguna duda:Son mentirosos contumaces nada mas'
1496268566450130947,2022-02-22,20:40:00,darioelque,'@OoTabare @Nataliabrites5 @Frente_Amplio Hay referendum? Pero si a mi dijeron que no llegan a las firmas'
1496271970081681408,2022-02-22,20:53:31,vivizlesbians,'ok mí ex varón era virgo y era literalmente un virgo skmpre q quería salir con el me decía q no y que estaba ocupado en frente sus amigos nunxa me saludaba y me decía q las monas del anime eran más lindas q yo nunca salgan con virgos Otakus -90'
1496272119088676866,2022-02-22,20:54:07,ta_dije,'Se viene #DebateLUC  Desde la costa canaria haciendo el aguante al compañero @Oandradelallana  #VotaSi'
1496264727571222528,2022-02-22,20:24:44,evelyn23714000,'@forosuy @GustavoZubia @VotaSiUy Tiene bloqueado a medio mundo jaja'
1496263437717966851,2022-02-22,20:19:37,martn40375074,'@VotaSiUy En Cuba te llevan preso por tu apariencia de Libertad,SÁTRAPAS Hdmp'
1496271958308274179,2022-02-22,20:53:28,fvargasfoto,'Hoy día fuimos al Calafquen y hubo tormenta eléctrica, fueron 20 minutos de truenos y relampagos bailando frente a nuestros ojos. Nunca los había visto tan cerca, fue escalofriantemente hermoso.  Así lucía minutos antes de que el cielo se viniera abajo  https://t.co/M0zyiw63Z0'
1496263220914720768,2022-02-22,20:18:45,ootabare,'@VotaSiUy @AlfTuitea 🤣🤣🤣  https://t.co/gguw6BkDcK'
1496268478113796100,2022-02-22,20:39:39,cabvuy,'@ValentiEsteban, los números de  @nomadeconsultuy dónde los obtuvieron, en la huella de Seregni?  @Frente_Amplio porno...  https://t.co/HULFHheqGC'
1496268566450130947,2022-02-22,20:40:00,darioelque,'@OoTabare @Nataliabrites5 @Frente_Amplio Hay referendum? Pero si a mi dijeron que no llegan a las firmas'
1496268443175165952,2022-02-22,20:39:30,sison1959,'@_elDealerDeLuis @AguerreEduardo @AlvaroDelgadoUy @Oandradelallana En serio ? Será que aprendió del cubano disfrazado de uruguayo que milira  en el partido comunista disfrazado  de frente  amplio.  https://t.co/1AbdVB4AKS'
1496262301263044612,2022-02-22,20:15:06,elpenela,'@gbianchi404 @forosuy @GustavoZubia @VotaSiUy O se le corta el fono. Lo de él no son las comunicaciones... 👀'
1496271648475033604,2022-02-22,20:52:15,raulglfc1915,'En el interior, al menos por donde yo vivo, la gente no tiene como ver el debate si no tienen servicio de cable DirecTv Un desastre el nivel de desinformación al que someten a la gente.  #VotaSi #DebateLUC'
1496268478113796100,2022-02-22,20:39:39,cabvuy,'@ValentiEsteban, los números de  @nomadeconsultuy dónde los obtuvieron, en la huella de Seregni?  @Frente_Amplio porno...  https://t.co/HULFHheqGC'
1496271954114150400,2022-02-22,20:53:27,natygrisy35,'@ismacastagnet @ADRY112 En serio cree que todos los empresarios son fuertes?  Que ninguno respeta los derechos de los trabajadores? Que en el frente hubo bonanza?  Usted vive 3 siglos atrasado, con el verso que les sigue dando matraca a lo que ya no corre, y siempre, abusando y subestimando al pueblo'
1496268011531116550,2022-02-22,20:37:47,martinaldaya,'@Frente_Amplio'
1496262034069114888,2022-02-22,20:14:02,casablanca1109,'@gbianchi404 @forosuy @GustavoZubia @VotaSiUy A mi tiene bloqueada la vice (a quien lamentablemente tuve q votar) y jamás la falté el respeto. Obviamente ella tampoco entendió q su autoridad emanaba entre otros de mi 🤷🏼‍♀️'
1496271616757710851,2022-02-22,20:52:07,ferchu1001,'Todo pronto!! en 8 minutos tendremos #DebateLuc #VotaSi  #VotaRosado  https://t.co/A35n9kchDv'
1496267934221619206,2022-02-22,20:37:29,martinaldaya,'@Frente_Amplio'
1496268011531116550,2022-02-22,20:37:47,martinaldaya,'@Frente_Amplio'
1496271899130802179,2022-02-22,20:53:14,tickie18,'Ese cerebro funciona a mil! El de #santimaratea Frente a un viejo sucio de pelo largo! Patético!🤨'
1496271605487517697,2022-02-22,20:52:04,liberarceuy,'Trabajadores de la salud privada/Fus movilizada por el #votaSI y en solidaridad con trabajadores de Casa de Galicia  Movilizacion de la Fus  https://t.co/Jm4kq6B1Q5 a través de @FacebookWatch'
1496271871016419329,2022-02-22,20:53:08,salangox100pre,'@rlopezmurphy @alferdez El único que tiene las pelotas para pararse frente a los Green go.'
1496261532396757003,2022-02-22,20:12:03,liberarceuy,'Trabajadores de la salud privada/Fus movilizada por el #votaSI y en solidaridad con trabajadores de Casa de Galicia 22/2/2022. #liberarce @VotaSiUy @fus_avanza  https://t.co/rWnQjPkpID'
1496271870248771587,2022-02-22,20:53:07,noctvrnalsyp,'@TheScarabBoy Y regresó su vista al frente, esta vez encendió el motor del auto y comenzó a manejar hacia el edificio donde se quedaba. No pasó tanto tiempo para llegar y una vez afuera, metió el coche en el aparcamiento en su lugar asignado y salió del mismo, no podía estar perdiendo   &gt;'
1496267934221619206,2022-02-22,20:37:29,martinaldaya,'@Frente_Amplio'
1496271591671533571,2022-02-22,20:52:01,clauoliveramvd,'La Huella de Seregni, pronta para el debate. #VotaSi  https://t.co/sF2ObKqbw8'
1496271486683910149,2022-02-22,20:51:36,mor_ticia,'#VotáSi @Oandradelallana VAMO'
1496267689110736899,2022-02-22,20:36:31,martinaldaya,'@Frente_Amplio'
1496261266415013891,2022-02-22,20:10:59,venceremosfa,'Minutos antes del debate con Manini, el compañero Óscar Andrade nos deja un saludo.  Veníte a la Plaza de la Ex Terminal Goes o seguilo por nuestras redes 💪🏻 @Frente_Amplio @CoordC_FA @VotaSiUy  https://t.co/5SyokXT6u0'
1496271471055933443,2022-02-22,20:51:32,liberarceuy,'Trabajadores de la salud privada/Fus movilizada por el #votaSI y en solidaridad con trabajadores de Casa de Galicia  Movilizacion de la Fus _ Oratoria #Liberarce  https://t.co/OHRtV8s0cK a través de @FacebookWatch'
1496267594445295619,2022-02-22,20:36:08,martinaldaya,'@Frente_Amplio'
